invoiceno,invoicedate,customerid
536596,2010-12-01 17:29:00,-1
536597,2010-12-01 17:35:00,18011
536598,2010-12-02 07:48:00,13090
536599,2010-12-02 07:49:00,15694
536600,2010-12-02 08:32:00,17850
536601,2010-12-02 08:33:00,17850
536602,2010-12-02 08:34:00,17850
536603,2010-12-02 08:40:00,17850
536604,2010-12-02 08:43:00,14741
536605,2010-12-02 08:52:00,13715
C536606,2010-12-02 09:10:00,14092
536607,2010-12-02 09:29:00,17732
536608,2010-12-02 09:37:00,12855
536609,2010-12-02 09:41:00,17850
536610,2010-12-02 09:42:00,17850
536611,2010-12-02 09:43:00,15752
536612,2010-12-02 09:44:00,17850
536613,2010-12-02 09:44:00,17855
536614,2010-12-02 09:44:00,17850
536615,2010-12-02 10:09:00,14047
536616,2010-12-02 10:10:00,17925
536617,2010-12-02 10:17:00,13941
536618,2010-12-02 10:17:00,17017
536619,2010-12-02 10:18:00,17017
536620,2010-12-02 10:27:00,14135
536621,2010-12-02 10:35:00,13108
C536622,2010-12-02 10:37:00,12471
536623,2010-12-02 10:39:00,15601
536624,2010-12-02 10:45:00,13418
536626,2010-12-02 10:46:00,13418
C536625,2010-12-02 10:46:00,14766
536627,2010-12-02 10:53:00,15658
536628,2010-12-02 10:54:00,17850
536629,2010-12-02 10:55:00,17850
536630,2010-12-02 10:56:00,17850
536631,2010-12-02 10:58:00,17850
536632,2010-12-02 11:02:00,14388
536633,2010-12-02 11:20:00,14901
536634,2010-12-02 11:21:00,18041
536635,2010-12-02 11:22:00,15955
536636,2010-12-02 11:23:00,15070
536637,2010-12-02 11:35:00,18041
536638,2010-12-02 11:41:00,16244
536639,2010-12-02 11:45:00,15111
536640,2010-12-02 11:45:00,-1
536641,2010-12-02 11:46:00,12748
C536642,2010-12-02 11:56:00,14390
536643,2010-12-02 11:57:00,14390
536663,2010-12-02 12:07:00,16546
536667,2010-12-02 12:09:00,15260
536670,2010-12-02 12:09:00,15260
536671,2010-12-02 12:10:00,13305
536672,2010-12-02 12:10:00,14491
536673,2010-12-02 12:11:00,14060
536674,2010-12-02 12:16:00,15923
536676,2010-12-02 12:18:00,16752
536681,2010-12-02 12:22:00,17287
536685,2010-12-02 12:23:00,17850
536688,2010-12-02 12:24:00,17850
536690,2010-12-02 12:25:00,17850
536693,2010-12-02 12:26:00,17850
536698,2010-12-02 12:28:00,15363
536707,2010-12-02 12:33:00,12915
536732,2010-12-02 12:47:00,15544
536733,2010-12-02 12:50:00,15738
C536734,2010-12-02 12:50:00,16042
536735,2010-12-02 12:58:00,17381
536736,2010-12-02 12:59:00,17381
C536737,2010-12-02 13:05:00,15922
536738,2010-12-02 13:06:00,15827
536739,2010-12-02 13:08:00,14180
536740,2010-12-02 13:08:00,15827
536741,2010-12-02 13:11:00,13117
536742,2010-12-02 13:14:00,16916
536743,2010-12-02 13:32:00,17964
536744,2010-12-02 13:36:00,14466
536745,2010-12-02 13:38:00,17235
536746,2010-12-02 13:39:00,16510
536747,2010-12-02 13:44:00,17802
536748,2010-12-02 13:45:00,15107
536749,2010-12-02 13:49:00,17976
536750,2010-12-02 14:04:00,17850
536751,2010-12-02 14:05:00,17850
536752,2010-12-02 14:06:00,17850
536753,2010-12-02 14:07:00,17850
536754,2010-12-02 14:09:00,14449
536755,2010-12-02 14:14:00,-1
536756,2010-12-02 14:23:00,-1
C536757,2010-12-02 14:23:00,15838
C536758,2010-12-02 14:25:00,13767
536759,2010-12-02 14:26:00,16781
C536760,2010-12-02 14:29:00,17547
536761,2010-12-02 14:30:00,13491
536762,2010-12-02 14:40:00,16186
536763,2010-12-02 14:42:00,17685
536764,2010-12-02 14:42:00,-1
536765,2010-12-02 14:43:00,-1
536769,2010-12-02 14:47:00,17581
536771,2010-12-02 14:49:00,17581
536777,2010-12-02 15:00:00,15732
536778,2010-12-02 15:03:00,13138
536779,2010-12-02 15:08:00,15823
536780,2010-12-02 15:09:00,-1
536781,2010-12-02 15:14:00,17460
536782,2010-12-02 15:18:00,17567
536783,2010-12-02 15:19:00,15061
536784,2010-12-02 15:20:00,15061
536785,2010-12-02 15:22:00,15061
536786,2010-12-02 15:23:00,15061
536787,2010-12-02 15:24:00,17850
536788,2010-12-02 15:25:00,15061
536789,2010-12-02 15:25:00,17850
536790,2010-12-02 15:26:00,17850
536791,2010-12-02 15:27:00,17850
536792,2010-12-02 15:28:00,15061
536793,2010-12-02 15:39:00,16203
536794,2010-12-02 15:40:00,13767
536795,2010-12-02 15:40:00,15640
536796,2010-12-02 15:46:00,15574
536797,2010-12-02 15:49:00,16770
536798,2010-12-02 15:55:00,17838
536799,2010-12-02 16:00:00,17228
536800,2010-12-02 16:12:00,14829
536801,2010-12-02 16:12:00,-1
536802,2010-12-02 16:29:00,17412
536803,2010-12-02 16:33:00,14911
536804,2010-12-02 16:34:00,14031
536805,2010-12-02 16:38:00,14775
536806,2010-12-02 16:42:00,12971
C536807,2010-12-02 16:45:00,15834
536808,2010-12-02 16:46:00,17659
536809,2010-12-02 16:48:00,15299
536810,2010-12-02 16:50:00,15299
536811,2010-12-02 16:51:00,15299
C536812,2010-12-02 16:58:00,16546
536813,2010-12-02 16:59:00,15646
C536814,2010-12-02 17:03:00,13958
C536815,2010-12-02 17:05:00,14443
C536816,2010-12-02 17:06:00,14443
C536817,2010-12-02 17:08:00,14156
C536818,2010-12-02 17:09:00,16995
536819,2010-12-02 17:12:00,13402
C536820,2010-12-02 17:14:00,18168
536821,2010-12-02 17:17:00,17757
C536822,2010-12-02 17:19:00,14625
536823,2010-12-02 17:22:00,13011
536824,2010-12-02 17:24:00,13798
C536825,2010-12-02 17:27:00,15384
C536826,2010-12-02 17:30:00,17924
C536827,2010-12-02 17:31:00,13408
C536828,2010-12-02 17:35:00,14264
C536829,2010-12-02 17:36:00,13295
536830,2010-12-02 17:38:00,16754
536831,2010-12-02 17:40:00,16029
536832,2010-12-02 17:41:00,16634
536833,2010-12-02 17:48:00,18239
536834,2010-12-02 17:51:00,14576
536835,2010-12-02 18:06:00,13145
536836,2010-12-02 18:08:00,18168
536837,2010-12-02 18:15:00,14395
536838,2010-12-02 18:23:00,14865
536839,2010-12-02 18:25:00,15093
536840,2010-12-02 18:27:00,12738
536841,2010-12-02 18:27:00,16150
536842,2010-12-02 18:45:00,17552
536843,2010-12-02 18:46:00,17552
536844,2010-12-02 18:49:00,14236
536845,2010-12-02 19:18:00,17961
536846,2010-12-02 19:59:00,14573
536847,2010-12-03 09:31:00,17135
536848,2010-12-03 09:39:00,13408
536849,2010-12-03 09:45:00,17396
C536850,2010-12-03 09:47:00,14213
536851,2010-12-03 09:49:00,12967
536852,2010-12-03 09:51:00,12686
C536853,2010-12-03 10:07:00,14679
C536854,2010-12-03 10:09:00,15240
C536855,2010-12-03 10:11:00,18225
536856,2010-12-03 10:26:00,13370
536857,2010-12-03 10:33:00,16883
536858,2010-12-03 10:36:00,13520
536859,2010-12-03 10:43:00,12841
536860,2010-12-03 10:43:00,16905
536861,2010-12-03 10:44:00,12427
536862,2010-12-03 11:13:00,-1
536863,2010-12-03 11:19:00,17967
536864,2010-12-03 11:27:00,-1
536865,2010-12-03 11:28:00,-1
536866,2010-12-03 11:28:00,-1
536874,2010-12-03 11:35:00,16891
536876,2010-12-03 11:36:00,-1
536883,2010-12-03 11:41:00,-1
536884,2010-12-03 11:42:00,14589
536885,2010-12-03 11:42:00,-1
536890,2010-12-03 11:48:00,14156
536920,2010-12-03 12:01:00,-1
536938,2010-12-03 12:05:00,14680
536941,2010-12-03 12:08:00,-1
536942,2010-12-03 12:08:00,-1
536943,2010-12-03 12:11:00,17884
536944,2010-12-03 12:20:00,12557
536945,2010-12-03 12:24:00,14083
536946,2010-12-03 12:28:00,13013
536947,2010-12-03 12:29:00,13013
536954,2010-12-03 12:41:00,17809
536956,2010-12-03 12:43:00,14210
536957,2010-12-03 12:43:00,17809
536960,2010-12-03 12:48:00,16477
536967,2010-12-03 12:57:00,12600
536968,2010-12-03 13:09:00,16013
536969,2010-12-03 13:10:00,16013
536970,2010-12-03 13:12:00,17949
536971,2010-12-03 13:40:00,12779
536972,2010-12-03 13:42:00,16926
536973,2010-12-03 13:43:00,17787
536974,2010-12-03 13:59:00,12682
536975,2010-12-03 14:04:00,14911
536976,2010-12-03 14:18:00,14723
536977,2010-12-03 14:18:00,17954
C536978,2010-12-03 14:19:00,17954
C536979,2010-12-03 14:23:00,17841
536980,2010-12-03 14:26:00,17819
536981,2010-12-03 14:26:00,14723
536982,2010-12-03 14:27:00,-1
536983,2010-12-03 14:30:00,12712
536984,2010-12-03 14:35:00,17841
536985,2010-12-03 14:40:00,15373
536986,2010-12-03 14:40:00,16140
536987,2010-12-03 14:54:00,17198
536988,2010-12-03 15:05:00,17238
536989,2010-12-03 15:10:00,17238
536990,2010-12-03 15:14:00,12793
536991,2010-12-03 15:16:00,-1
536992,2010-12-03 15:16:00,15769
536993,2010-12-03 15:19:00,14396
536994,2010-12-03 15:25:00,14898
536995,2010-12-03 15:29:00,-1
536996,2010-12-03 15:30:00,-1
536997,2010-12-03 15:30:00,-1
536998,2010-12-03 15:30:00,-1
536999,2010-12-03 15:32:00,-1
537000,2010-12-03 15:32:00,-1
537001,2010-12-03 15:33:00,-1
537002,2010-12-03 15:33:00,-1
537003,2010-12-03 15:33:00,-1
537004,2010-12-03 15:34:00,-1
537005,2010-12-03 15:35:00,-1
537006,2010-12-03 15:36:00,-1
537007,2010-12-03 15:36:00,-1
537008,2010-12-03 15:37:00,-1
537009,2010-12-03 15:38:00,-1
537010,2010-12-03 15:38:00,-1
537011,2010-12-03 15:38:00,-1
537012,2010-12-03 15:39:00,-1
537013,2010-12-03 15:40:00,-1
537014,2010-12-03 15:40:00,-1
537015,2010-12-03 15:41:00,-1
537016,2010-12-03 15:41:00,-1
537017,2010-12-03 15:41:00,-1
537018,2010-12-03 15:42:00,-1
537019,2010-12-03 15:43:00,-1
537020,2010-12-03 15:43:00,-1
537021,2010-12-03 15:43:00,-1
537022,2010-12-03 15:45:00,12725
537023,2010-12-03 16:02:00,16725
537025,2010-12-03 16:21:00,-1
C537024,2010-12-03 16:21:00,13941
537026,2010-12-03 16:35:00,12395
537027,2010-12-03 16:36:00,-1
537028,2010-12-03 16:36:00,-1
537029,2010-12-03 16:37:00,-1
537030,2010-12-03 16:44:00,16455
537031,2010-12-03 16:45:00,16455
537032,2010-12-03 16:50:00,-1
537034,2010-12-03 17:20:00,13081
537035,2010-12-03 17:21:00,13081
537036,2010-12-03 17:28:00,15545
537037,2010-12-05 10:03:00,17243
537038,2010-12-05 10:12:00,15465
C537039,2010-12-05 10:25:00,15708
537040,2010-12-05 10:27:00,13089
537041,2010-12-05 10:36:00,16033
537042,2010-12-05 10:45:00,13838
C537043,2010-12-05 10:48:00,15351
537044,2010-12-05 10:52:00,18055
537045,2010-12-05 10:54:00,15038
537046,2010-12-05 10:58:00,18109
537047,2010-12-05 11:02:00,13069
537048,2010-12-05 11:03:00,13069
537049,2010-12-05 11:04:00,16241
537050,2010-12-05 11:10:00,14800
537051,2010-12-05 11:12:00,15708
537052,2010-12-05 11:15:00,16839
537053,2010-12-05 11:38:00,16168
537054,2010-12-05 11:40:00,16931
537055,2010-12-05 11:45:00,16814
537057,2010-12-05 11:49:00,15351
537058,2010-12-05 11:51:00,13269
537059,2010-12-05 11:54:00,14813
537065,2010-12-05 11:57:00,12567
537067,2010-12-05 11:57:00,14813
537077,2010-12-05 11:59:00,17062
537081,2010-12-05 12:00:00,15332
537086,2010-12-05 12:01:00,15332
537090,2010-12-05 12:02:00,15332
537111,2010-12-05 12:08:00,14810
537117,2010-12-05 12:09:00,16353
537126,2010-12-05 12:13:00,18118
537127,2010-12-05 12:13:00,13831
537128,2010-12-05 12:15:00,12841
537129,2010-12-05 12:15:00,13506
537130,2010-12-05 12:23:00,17796
537131,2010-12-05 12:26:00,15716
537133,2010-12-05 12:29:00,18156
C537132,2010-12-05 12:29:00,15221
537134,2010-12-05 12:34:00,16983
537135,2010-12-05 12:35:00,17059
537136,2010-12-05 12:42:00,12748
537137,2010-12-05 12:43:00,16327
537138,2010-12-05 12:44:00,17211
537139,2010-12-05 12:47:00,17026
537140,2010-12-05 12:53:00,12748
537141,2010-12-05 12:57:00,15570
537142,2010-12-05 12:57:00,12748
C537143,2010-12-05 12:58:00,12748
537144,2010-12-05 13:00:00,15880
537153,2010-12-05 13:03:00,16718
537154,2010-12-05 13:05:00,15808
537155,2010-12-05 13:05:00,12748
537156,2010-12-05 13:08:00,17858
C537157,2010-12-05 13:09:00,15880
537158,2010-12-05 13:10:00,16393
537159,2010-12-05 13:17:00,14527
537160,2010-12-05 13:18:00,14161
537163,2010-12-05 13:21:00,17863
C537164,2010-12-05 13:21:00,14527
537176,2010-12-05 13:26:00,16411
537179,2010-12-05 13:29:00,13767
537192,2010-12-05 13:42:00,16402
537193,2010-12-05 13:49:00,15023
537194,2010-12-05 13:53:00,17402
537195,2010-12-05 13:55:00,15311
537196,2010-12-05 13:55:00,15426
537197,2010-12-05 14:02:00,12647
537198,2010-12-05 14:03:00,12647
537199,2010-12-05 14:06:00,15894
537200,2010-12-05 14:17:00,15867
537201,2010-12-05 14:19:00,12472
537202,2010-12-05 14:25:00,14506
C537203,2010-12-05 14:44:00,14606
537204,2010-12-05 14:45:00,15555
537205,2010-12-05 14:52:00,13034
537206,2010-12-05 15:02:00,15235
537207,2010-12-05 15:06:00,17402
537208,2010-12-05 15:12:00,15889
537209,2010-12-05 15:12:00,14606
537210,2010-12-05 15:15:00,15953
537211,2010-12-05 15:18:00,16143
537212,2010-12-05 15:21:00,12720
537213,2010-12-05 15:26:00,12748
537214,2010-12-05 15:35:00,16422
537215,2010-12-05 15:38:00,12747
537216,2010-12-05 15:40:00,15502
537217,2010-12-05 15:40:00,15502
537218,2010-12-05 15:46:00,12763
537219,2010-12-05 15:47:00,14081
537220,2010-12-05 15:49:00,-1
537221,2010-12-05 15:54:00,17965
537222,2010-12-05 16:00:00,14404
537223,2010-12-05 16:10:00,13579
537224,2010-12-05 16:24:00,13174
537225,2010-12-05 16:41:00,12748
537226,2010-12-06 08:34:00,15987
537227,2010-12-06 08:42:00,17677
537228,2010-12-06 08:43:00,17677
537229,2010-12-06 08:44:00,17677
537230,2010-12-06 09:20:00,-1
537231,2010-12-06 09:21:00,13652
C537232,2010-12-06 09:31:00,12586
537233,2010-12-06 09:37:00,17428
C537234,2010-12-06 09:40:00,16161
537235,2010-12-06 09:45:00,17381
537236,2010-12-06 09:52:00,16858
537237,2010-12-06 09:58:00,-1
537238,2010-12-06 10:03:00,16161
537239,2010-12-06 10:05:00,18219
537240,2010-12-06 10:08:00,-1
537241,2010-12-06 10:18:00,14293
537242,2010-12-06 10:19:00,14748
537243,2010-12-06 10:19:00,16638
537244,2010-12-06 10:20:00,17674
537245,2010-12-06 10:24:00,14748
537246,2010-12-06 10:27:00,12808
537247,2010-12-06 10:34:00,13094
537248,2010-12-06 10:36:00,15899
537249,2010-12-06 10:38:00,16955
537250,2010-12-06 10:43:00,12708
C537251,2010-12-06 10:45:00,-1
537252,2010-12-06 10:46:00,-1
537253,2010-12-06 10:53:00,-1
537254,2010-12-06 11:01:00,15898
537255,2010-12-06 11:03:00,14443
537256,2010-12-06 11:06:00,16210
537257,2010-12-06 11:10:00,17691
537258,2010-12-06 11:16:00,17227
537262,2010-12-06 11:26:00,15039
537265,2010-12-06 11:26:00,15919
537298,2010-12-06 11:37:00,13497
537301,2010-12-06 11:38:00,15860
537312,2010-12-06 11:42:00,14189
537313,2010-12-06 11:42:00,15304
C537314,2010-12-06 11:42:00,13497
C537320,2010-12-06 11:47:00,14867
537332,2010-12-06 11:58:00,14344
C537333,2010-12-06 12:00:00,12474
537334,2010-12-06 12:06:00,16719
537335,2010-12-06 12:15:00,15048
537346,2010-12-06 12:21:00,15301
537350,2010-12-06 12:23:00,14708
537351,2010-12-06 12:23:00,16898
537354,2010-12-06 12:23:00,12748
537359,2010-12-06 12:30:00,14825
537360,2010-12-06 12:31:00,18113
537361,2010-12-06 12:34:00,-1
537362,2010-12-06 12:34:00,17596
537363,2010-12-06 12:35:00,-1
537364,2010-12-06 12:36:00,-1
537365,2010-12-06 12:38:00,15078
537366,2010-12-06 12:39:00,14085
537367,2010-12-06 12:39:00,15078
537368,2010-12-06 12:40:00,14911
537369,2010-12-06 12:41:00,17860
537370,2010-12-06 12:44:00,13155
537371,2010-12-06 12:47:00,15028
537372,2010-12-06 12:52:00,16919
537374,2010-12-06 12:55:00,17259
537375,2010-12-06 12:55:00,17019
C537373,2010-12-06 12:55:00,14487
537376,2010-12-06 12:59:00,16722
537377,2010-12-06 13:01:00,15882
537378,2010-12-06 13:06:00,14911
537380,2010-12-06 13:12:00,15882
C537379,2010-12-06 13:12:00,15882
537381,2010-12-06 13:13:00,14667
537382,2010-12-06 13:13:00,16710
C537383,2010-12-06 13:17:00,16550
537384,2010-12-06 13:21:00,15984
537385,2010-12-06 13:22:00,14487
537386,2010-12-06 13:32:00,14911
537387,2010-12-06 13:34:00,13468
537388,2010-12-06 13:35:00,17682
537389,2010-12-06 13:41:00,17757
537390,2010-12-06 13:47:00,16658
537391,2010-12-06 13:53:00,16550
537392,2010-12-06 13:58:00,17068
537393,2010-12-06 13:59:00,13089
537394,2010-12-06 14:00:00,13089
537395,2010-12-06 14:05:00,15356
537396,2010-12-06 14:08:00,17223
537397,2010-12-06 14:19:00,16817
C537398,2010-12-06 14:22:00,15426
537399,2010-12-06 14:31:00,13030
537400,2010-12-06 14:36:00,17191
537401,2010-12-06 14:37:00,-1
537403,2010-12-06 14:43:00,17191
C537402,2010-12-06 14:43:00,15502
537404,2010-12-06 14:46:00,17191
537405,2010-12-06 14:51:00,17841
C537406,2010-12-06 14:53:00,15502
537407,2010-12-06 14:55:00,15502
C537408,2010-12-06 14:55:00,15502
537409,2010-12-06 15:00:00,15194
537410,2010-12-06 15:03:00,14409
537411,2010-12-06 15:06:00,-1
537412,2010-12-06 15:06:00,14409
C537413,2010-12-06 15:07:00,14409
537415,2010-12-06 15:09:00,16654
C537414,2010-12-06 15:09:00,16861
C537416,2010-12-06 15:10:00,16138
C537417,2010-12-06 15:12:00,13481
537418,2010-12-06 15:13:00,17884
537419,2010-12-06 15:14:00,13495
537420,2010-12-06 15:18:00,17519
537421,2010-12-06 15:25:00,17218
537422,2010-12-06 15:27:00,17812
537423,2010-12-06 15:34:00,14215
537424,2010-12-06 15:35:00,15602
537425,2010-12-06 15:35:00,-1
537426,2010-12-06 15:36:00,-1
537427,2010-12-06 15:37:00,-1
537428,2010-12-06 15:38:00,17320
537429,2010-12-06 15:54:00,12748
537430,2010-12-06 16:05:00,-1
537432,2010-12-06 16:10:00,-1
C537431,2010-12-06 16:10:00,16782
537433,2010-12-06 16:36:00,12913
537434,2010-12-06 16:57:00,-1
537435,2010-12-06 16:58:00,17920
537436,2010-12-06 17:00:00,-1
537437,2010-12-06 17:00:00,-1
537438,2010-12-06 17:00:00,-1
537439,2010-12-06 17:01:00,-1
537440,2010-12-06 17:16:00,17869
537441,2010-12-06 17:26:00,13564
537442,2010-12-06 17:29:00,-1
C537444,2010-12-07 08:42:00,14850
C537445,2010-12-07 08:57:00,15021
537446,2010-12-07 09:13:00,18055
537447,2010-12-07 09:21:00,13963
537448,2010-12-07 09:23:00,17450
537449,2010-12-07 09:26:00,-1
537450,2010-12-07 09:26:00,-1
537451,2010-12-07 09:27:00,-1
537452,2010-12-07 09:28:00,-1
537453,2010-12-07 09:28:00,-1
537454,2010-12-07 09:30:00,-1
537455,2010-12-07 09:31:00,-1
537456,2010-12-07 09:43:00,17450
537457,2010-12-07 09:51:00,17511
537458,2010-12-07 09:55:00,17091
537459,2010-12-07 09:57:00,17470
537460,2010-12-07 10:04:00,17616
537461,2010-12-07 10:06:00,15649
537462,2010-12-07 10:06:00,17228
537463,2010-12-07 10:08:00,12681
537464,2010-12-07 10:14:00,14907
537465,2010-12-07 10:32:00,17735
537466,2010-12-07 10:33:00,-1
537467,2010-12-07 10:36:00,16059
537468,2010-12-07 10:36:00,12567
537469,2010-12-07 10:43:00,17720
537470,2010-12-07 10:47:00,15018
537471,2010-12-07 10:51:00,14344
537472,2010-12-07 11:11:00,12971
537476,2010-12-07 11:26:00,15838
537484,2010-12-07 11:30:00,14733
537489,2010-12-07 11:33:00,17017
537509,2010-12-07 11:41:00,13756
537523,2010-12-07 11:45:00,14176
C537530,2010-12-07 11:47:00,13319
537534,2010-12-07 11:48:00,-1
537538,2010-12-07 11:49:00,15353
537567,2010-12-07 11:59:00,18119
C537572,2010-12-07 12:00:00,-1
C537581,2010-12-07 12:03:00,-1
537592,2010-12-07 12:18:00,17491
537593,2010-12-07 12:21:00,14282
537594,2010-12-07 12:28:00,12647
537595,2010-12-07 12:29:00,13569
C537596,2010-12-07 12:31:00,17954
C537597,2010-12-07 12:34:00,15498
537598,2010-12-07 12:37:00,14135
537599,2010-12-07 12:37:00,17954
C537600,2010-12-07 12:41:00,-1
537601,2010-12-07 12:43:00,17287
C537602,2010-12-07 12:45:00,17511
537603,2010-12-07 12:49:00,14673
537604,2010-12-07 13:01:00,13488
537605,2010-12-07 13:13:00,16221
537606,2010-12-07 13:16:00,15002
537607,2010-12-07 13:18:00,15965
537608,2010-12-07 13:20:00,15024
537609,2010-12-07 13:22:00,17675
C537610,2010-12-07 13:23:00,-1
C537611,2010-12-07 13:25:00,17675
537612,2010-12-07 13:28:00,13769
C537613,2010-12-07 13:28:00,-1
537614,2010-12-07 13:29:00,16904
537615,2010-12-07 13:30:00,15898
537616,2010-12-07 13:30:00,16904
537617,2010-12-07 13:45:00,16086
537618,2010-12-07 13:50:00,15061
537619,2010-12-07 13:53:00,13786
537620,2010-12-07 14:00:00,13880
537621,2010-12-07 14:29:00,-1
537622,2010-12-07 14:30:00,13173
537623,2010-12-07 14:31:00,15858
537624,2010-12-07 14:41:00,12748
537625,2010-12-07 14:57:00,15180
537626,2010-12-07 14:57:00,12347
537627,2010-12-07 14:58:00,14739
537628,2010-12-07 15:02:00,16293
537629,2010-12-07 15:03:00,17419
537631,2010-12-07 15:04:00,17419
C537630,2010-12-07 15:04:00,-1
537632,2010-12-07 15:08:00,-1
537633,2010-12-07 15:14:00,-1
537634,2010-12-07 15:15:00,16775
537635,2010-12-07 15:18:00,16306
